DOI,Title,Authors,Journal/Book,Publication Year,Create Date,Article Type,Language,Abstract
10.2196/12869,"Digital Mental Health Interventions for Depression, Anxiety, and Enhancement of Psychological Well-Being Among College Students: Systematic Review","Lattie EG, Adkins EC, Winquist N, Stiles-Shields C, Wafford QE, Graham AK.",J Med Internet Res,2019,2019.7.24,,,
10.1016/S2215-0366(21)00077-8,"Dismantling, optimising, and personalising internet cognitive behavioural therapy for depression: a systematic review and component network meta-analysis using individual participant data","Furukawa TA, Suganuma A, Ostinelli EG, Andersson G, Beevers CG, Shumake J, Berger T, Boele FW, Buntrock C, Carlbring P, Choi I, Christensen H, Mackinnon A, Dahne J, Huibers MJH, Ebert DD, Farrer L, Forand NR, Strunk DR, Ezawa ID, Forsell E, Kaldo V, Geraedts A, Gilbody S, Littlewood E, Brabyn S, Hadjistavropoulos HD, Schneider LH, Johansson R, Kenter R, Kivi M, Björkelund C, Kleiboer A, Riper H, Klein JP, Schröder J, Meyer B, Moritz S, Bücker L, Lintvedt O, Johansson P, Lundgren J, Milgrom J, Gemmill AW, Mohr DC, Montero-Marin J, Garcia-Campayo J, Nobis S, Zarski AC, O'Moore K, Williams AD, Newby JM, Perini S, Phillips R, Schneider J, Pots W, Pugh NE, Richards D, Rosso IM, Rauch SL, Sheeber LB, Smith J, Spek V, Pop VJ, Ünlü B, van Bastelaar KMP, van Luenen S, Garnefski N, Kraaij V, Vernmark K, Warmerdam L, van Straten A, Zagorscak P, Knaevelsrud C, Heinrich M, Miguel C, Cipriani A, Efthimiou O, Karyotaki E, Cuijpers P.",Lancet Psychiatry,2021,2021.5.6,,,
10.2196/mhealth.5849,Development and Validation of the User Version of the Mobile Application Rating Scale (uMARS),"Stoyanov SR, Hides L, Kavanagh DJ, Wilson H.",JMIR Mhealth Uhealth,2016,2016.6.12,,,
10.2196/34154,Adolescent Health Promotion Interventions Using Well-Care Visits and a Smartphone Cognitive Behavioral Therapy App: Randomized Controlled Trial,"Nagamitsu S, Kanie A, Sakashita K, Sakuta R, Okada A, Matsuura K, Ito M, Katayanagi A, Katayama T, Otani R, Kitajima T, Matsubara N, Inoue T, Tanaka C, Fujii C, Shigeyasu Y, Ishii R, Sakai S, Matsuoka M, Kakuma T, Yamashita Y, Horikoshi M.",JMIR Mhealth Uhealth,2022,2022.5.23,,,
10.1001/jamapsychiatry.2023.2706,"Effects of 12 Weeks of At-Home, Application-Based Exercise on Health Care Workers' Depressive Symptoms, Burnout, and Absenteeism: A Randomized Clinical Trial","Boucher VG, Haight BL, Hives BA, Zumbo BD, Merali-Dewji A, Hutton S, Liu Y, Nguyen S, Beauchamp MR, Black AT, Puterman E.",JAMA Psychiatry,2023,2023.8.9,,,
10.1200/JCO.22.00699,Smartphone Psychotherapy Reduces Fear of Cancer Recurrence Among Breast Cancer Survivors: A Fully Decentralized Randomized Controlled Clinical Trial (J-SUPPORT 1703 Study),"Akechi T, Yamaguchi T, Uchida M, Imai F, Momino K, Katsuki F, Sakurai N, Miyaji T, Mashiko T, Horikoshi M, Furukawa TA, Yoshimura A, Ohno S, Uehiro N, Higaki K, Hasegawa Y, Akahane K, Uchitomi Y, Iwata H.",J Clin Oncol,2023,2022.11.2,,,
10.1001/jama.2021.4348,Effect of a Digital Intervention on Depressive Symptoms in Patients With Comorbid Hypertension or Diabetes in Brazil and Peru: Two Randomized Clinical Trials,"Araya R, Menezes PR, Claro HG, Brandt LR, Daley KL, Quayle J, Diez-Canseco F, Peters TJ, Vera Cruz D, Toyama M, Aschar S, Hidalgo-Padilla L, Martins H, Cavero V, Rocha T, Scotton G, de Almeida Lopes IF, Begale M, Mohr DC, Miranda JJ.",JAMA,2021,2021.5.11,,,
10.3390/ijerph192416824,Preventing Postpartum Depression in the Early Postpartum Period Using an App-Based Cognitive Behavioral Therapy Program: A Pilot Randomized Controlled Study,"Qin X, Liu C, Zhu W, Chen Y, Wang Y.",Int J Environ Res Public Health,2022,2022.12.23,,,
10.2196/40719,"Mental Health Chatbot for Young Adults With Depressive Symptoms During the COVID-19 Pandemic: Single-Blind, Three-Arm Randomized Controlled Trial","He Y, Yang L, Zhu X, Wu B, Zhang S, Qian C, Tian T.",J Med Internet Res,2022,2022.11.10,,,
10.1002/wps.21183,Current evidence on the efficacy of mental health smartphone apps for symptoms of depression and anxiety. A meta-analysis of 176 randomized controlled trials,"Linardon J, Torous J, Firth J, Cuijpers P, Messer M, Fuller-Tyszkiewicz M.",World Psychiatry,2024,2024.1.12,,,
10.1017/S0033291721003421,Treating depression with a smartphone-delivered self-help cognitive behavioral therapy for insomnia: a parallel-group randomized controlled trial,"Chan CS, Wong CYF, Yu BYM, Hui VKY, Ho FYY, Cuijpers P.",Psychol Med,2023,2023.6.13,,,
10.1001/jamapsychiatry.2023.4948,Home-Use Transcranial Direct Current Stimulation for the Treatment of a Major Depressive Episode: A Randomized Clinical Trial,"Borrione L, Cavendish BA, Aparicio LVM, Luethi MS, Goerigk S, Ramos MRF, Moran NKS, Carneiro AM, Valiengo L, Moura DO, de Souza JP, Batista MP, Aparecida da Silva V, Klein I, Suen P, Gallucci-Neto J, Padberg F, Razza LB, Vanderhasselt MA, Lotufo PA, Bensenor IM, Fregni F, Brunoni AR.",JAMA Psychiatry,2024,2024.1.3,,,
10.2196/41643,Internet-Based Behavioral Activation for Depression: Systematic Review and Meta-Analysis,"Alber CS, Krämer LV, Rosar SM, Mueller-Weinitschke C.",J Med Internet Res,2023,2023.5.25,,,
10.2196/52609,Acceptability of Digital Mental Health Interventions for Depression and Anxiety: Systematic Review,"Lau CKY, Saad A, Camara B, Rahman D, Bolea-Alamanac B.",J Med Internet Res,2024,2024.10.28,,,
10.1093/sleep/zsad104,Does insomnia treatment prevent depression?,"Boland EM, Goldschmied JR, Gehrman PR.",Sleep,2023,2023.4.8,,,
10.2196/40937,Digital Behavioral Activation Interventions During the Perinatal Period: Scoping Review,"Mancinelli E, Dell'Arciprete G, Pattarozzi D, Gabrielli S, Salcuni S.",JMIR Pediatr Parent,2023,2023.2.28,,,
10.1016/j.apnu.2016.10.002,Use of Computer and Mobile Technologies in the Treatment of Depression,"Callan JA, Wright J, Siegle GJ, Howland RH, Kepler BB.",Arch Psychiatr Nurs,2017,2017.5.14,,,
10.3390/ijerph17207679,mHealth and Perinatal Depression in Low-and Middle-Income Countries: A Scoping Review of the Literature,"Dosani A, Arora H, Mazmudar S.",Int J Environ Res Public Health,2020,2020.10.24,,,
10.1159/000541311,Efficacy of a Standalone Smartphone Application to Treat Postnatal Depression: A Randomized Controlled Trial,"Zuccolo PF, Brunoni AR, Borja T, Matijasevich A, Polanczyk GV, Fatori D.",Psychother Psychosom,2024,2024.10.23,,,
10.1111/pcn.13657,Optimizing smartphone psychotherapy for depressive symptoms in patients with cancer: Multiphase optimization strategy using a decentralized multicenter randomized clinical trial (J-SUPPORT 2001 Study),"Akechi T, Furukawa TA, Noma H, Iwata H, Toyama T, Higaki K, Matsuoka H, Zenda S, Iwatani T, Akahane K, Inoue A, Sagara Y, Uchida M, Imai F, Momino K, Imaizumi G, Yamaguchi T, Mashiko T, Miyaji T, Horikoshi M, Sakurai N, Onishi T, Kanemitsu Y, Murata T, Wanifuchi-Endo Y, Kuroda H, Nishikawa R, Miyashita M, Abe M, Uchitomi Y; J‐SUPPORT 2001 Study group.",Psychiatry Clin Neurosci,2024,2024.3.12,,,
10.1097/GRF.0000000000000388,Psychotherapeutic Treatments for Depression During Pregnancy,"Genovez M, Vanderkruik R, Lemon E, Dimidjian S.",Clin Obstet Gynecol,2018,2018.7.3,,,
10.1038/s41746-022-00677-8,A systematic review of digital and face-to-face cognitive behavioral therapy for depression,"Kambeitz-Ilankovic L, Rzayeva U, Völkel L, Wenzel J, Weiske J, Jessen F, Reininghaus U, Uhlhaas PJ, Alvarez-Jimenez M, Kambeitz J.",NPJ Digit Med,2022,2022.9.15,,,
10.1177/10901981221090157,"Behavioral Activation, Depression, and Promotion of Health Behaviors: A Scoping Review","May D, Litvin B, Allegrante J.",Health Educ Behav,2024,2022.4.29,,,
10.1186/s13063-024-08304-5,Smartphone-based intervention for postpartum depressive symptoms (Smart-e-Moms): study protocol for a randomized controlled trial,"Daehn D, Meyer C, Loew V, Wabiszczewicz J, Pohl S, Böttche M, Pawils S, Renneberg B.",Trials,2024,2024.7.10,,,
10.1016/j.jadohealth.2022.01.220,Rapid Evidence Review of Digital Cognitive-Behavioral Therapy for Adolescents With Depression,"Ivlev I, Beil TL, Haynes JS, Patnode CD.",J Adolesc Health,2022,2022.3.8,,,
10.1016/j.psychres.2022.115015,Smartphone app engagement and clinical outcomes in a hybrid clinic,"Chang S, Gray L, Torous J.",Psychiatry Res,2023,2022.12.22,,,
10.1017/S0033291720002081,Preventing depression using a smartphone app: a randomized controlled trial,"Deady M, Glozier N, Calvo R, Johnston D, Mackinnon A, Milne D, Choi I, Gayed A, Peters D, Bryant R, Christensen H, Harvey SB.",Psychol Med,2022,2020.7.7,,,
10.2196/51110,Exploring the Role of Mobile Apps for Insomnia in Depression: Systematic Review,"Chiu YH, Lee YF, Lin HL, Cheng LC.",J Med Internet Res,2024,2024.10.18,,,
10.2196/49809,Behavioral Activation-Based Digital Smoking Cessation Intervention for Individuals With Depressive Symptoms: Randomized Clinical Trial,"Dahne J, Wahlquist AE, Kustanowitz J, Natale N, Fahey M, Graboyes EM, Diaz VA, Carpenter MJ.",J Med Internet Res,2023,2023.11.1,,,
10.1002/cl2.1398,Mobile apps to reduce depressive symptoms and alcohol use in youth: A systematic review and meta-analysis: A systematic review,"Magwood O, Saad A, Ranger D, Volpini K, Rukikamirera F, Haridas R, Sayfi S, Alexander J, Tan Y, Pottie K.",Campbell Syst Rev,2024,2024.4.29,,,
10.1176/appi.ps.202200045,A Digital Cognitive-Behavioral Intervention for Depression and Anxiety Among Adolescents and Young Adults,"Szigethy EM, Silfee V, Marroquin MA, Pavlick AN, Wallace ML, Williams KR, Hoberman AM.",Psychiatr Serv,2023,2022.9.27,,,
10.1016/j.cpr.2020.101953,Mediators and mechanisms of change in internet- and mobile-based interventions for depression: A systematic review,"Domhardt M, Steubl L, Boettcher J, Buntrock C, Karyotaki E, Ebert DD, Cuijpers P, Baumeister H.",Clin Psychol Rev,2021,2021.1.10,,,
10.7759/cureus.82793,When Software Becomes Medicine: Ignoring It May Soon Be Malpractice,Lakhan SE.,Cureus,2025,2025.4.24,,,
10.3390/healthcare11020272,Analysis of Mobile App-Based Mental Health Solutions for College Students: A Rapid Review,"Choudhury A, Kuehn A, Shamszare H, Shahsavar Y.",Healthcare (Basel),2023,2023.1.21,,,
10.1371/journal.pone.0154248,A Systematic Review of Cognitive Behavioral Therapy and Behavioral Activation Apps for Depression,"Huguet A, Rao S, McGrath PJ, Wozney L, Wheaton M, Conrod J, Rozario S.",PLoS One,2016,2016.5.3,,,
10.1017/S0266462320002093,"The effects of mobile apps on stress, anxiety, and depression: overview of systematic reviews","Khademian F, Aslani A, Bastani P.",Int J Technol Assess Health Care,2020,2020.12.14,,,
10.7717/peerj.13111,Effectiveness of digital mental health interventions for university students: an umbrella review,"Harith S, Backhaus I, Mohbin N, Ngo HT, Khoo S.",PeerJ,2022,2022.4.6,,,
10.2196/28244,Behavioral Activation and Depression Symptomatology: Longitudinal Assessment of Linguistic Indicators in Text-Based Therapy Sessions,"Burkhardt HA, Alexopoulos GS, Pullmann MD, Hull TD, Areán PA, Cohen T.",J Med Internet Res,2021,2021.7.14,,,
10.2196/43260,Self-Guided Digital Intervention for Depression in Adolescents: Feasibility and Preliminary Efficacy Study,"Miller I, Peake E, Strauss G, Vierra E, Koepsell X, Shalchi B, Padmanabhan A, Lake J.",JMIR Form Res,2023,2023.11.22,,,
10.1016/j.ajp.2017.03.031,Free mobile apps on depression for Indian users: A brief overview and critique,"Kumar S, Mehrotra S.",Asian J Psychiatr,2017,2017.8.9,,,
10.1093/ntr/ntae137,Behavioral Activation mHealth Application for Smoking Cessation: A Randomized Controlled Pilot Trial,"Heffner JL, Serfozo E, Baker K, Gasser M, Watson N, Daughters SB, Becoňa E, McClure JB.",Nicotine Tob Res,2024,2024.6.7,,,
10.1177/00034894241297594,Smartphone-Based Cognitive Behavioral Therapy and Customized Sound Therapy for Tinnitus: A Randomized Controlled Trial,"Goshtasbi K, Tawk K, Khosravi P, Abouzari M, Djalilian HR.",Ann Otol Rhinol Laryngol,2025,2024.11.7,,,
